RESOURCE;FIELD;SCHEMA;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
accounting_point_energy_supplier;valid_from;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_energy_supplier;valid_to;api;;R;R;R;R;R;R;R;R;;;;
metering_grid_area;;api;;;;;;;;;;;;;
metering_grid_area;id;api;;R;R;R;R;R;R;R;R;;;;
metering_grid_area;business_id;api;;R;R;R;R;R;R;R;R;;;;
metering_grid_area;business_id_type;api;;R;R;R;R;R;R;R;R;;;;
metering_grid_area;name;api;;R;R;R;R;R;R;R;R;;;;
metering_grid_area;status;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_metering_grid_area;;api;;;;;;;;;;;;;
accounting_point_metering_grid_area;accounting_point_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_metering_grid_area;metering_grid_area_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_metering_grid_area;valid_from;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_metering_grid_area;valid_to;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_grid_location;;api;;;;;;;;;;;;;
accounting_point_grid_location;id;api;;;;;R;;R;;;;;R;
accounting_point_grid_location;accounting_point_id;api;;;;;RC;;RC;;;;;R;
accounting_point_grid_location;object_type;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;business_id;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;name;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;nominal_voltage;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;additional_information;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;source;api;;;;;R;;R;;;;;R;
accounting_point_grid_location;quality;api;;;;;RCU;;RCU;;;;;R;
accounting_point_grid_location;recorded_at;api;;;;;R;;R;;;;;R;
accounting_point_grid_location;recorded_by;api;;;;;R;;R;;;;;R;
product_type;;api;;;;;;;;;;;;;
product_type;id;api;;R;R;R;R;R;R;R;R;;;;
product_type;business_id;api;;R;R;R;R;R;R;R;R;;;;
product_type;name;api;;R;R;R;R;R;R;R;R;;;;
product_type;service;api;;R;R;R;R;R;R;R;R;;;;
product_type;products;api;;R;R;R;R;R;R;R;R;;;;
system_operator_product_type;;api;;;;;;;;;;;;R;
system_operator_product_type;id;api;;R;R;R;R;R;R;R;R;;;;
system_operator_product_type;system_operator_id;api;;R;R;R;RC;R;RC;R;R;;;;
system_operator_product_type;product_type_id;api;;R;R;R;RC;R;RC;R;R;;;;
system_operator_product_type;status;api;;R;R;R;RCU;R;RCU;R;R;;;;
system_operator_product_type;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
system_operator_product_type;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application;;api;;;;;;;;;;;;R;
service_provider_product_application;id;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application;service_provider_id;api;;R;R;R;R;R;R;RC;R;;;;
service_provider_product_application;system_operator_id;api;;R;R;R;R;R;R;RC;R;;;;
service_provider_product_application;product_type_ids;api;;R;R;R;RU;R;R;RCU;R;;;;
service_provider_product_application;status;api;;R;R;R;RU;R;RU;RC;R;;;;
service_provider_product_application;qualified_at;api;;R;R;R;RU;R;RU;R;R;;;;
service_provider_product_application;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_application;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension;;api;;;;;D;;D;;;;;R;
service_provider_product_suspension;id;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension;procuring_system_operator_id;api;;R;R;R;RC;R;RC;R;R;;;;
service_provider_product_suspension;service_provider_id;api;;R;R;R;RC;R;RC;R;R;;;;
service_provider_product_suspension;product_type_ids;api;;R;R;R;RCU;R;RCU;R;R;;;;
service_provider_product_suspension;reason;api;;R;R;R;RCU;R;RCU;R;R;;;;
service_provider_product_suspension;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension_comment;;api;;;;;;;;;;;;R;
service_provider_product_suspension_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension_comment;service_provider_product_suspension_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_provider_product_suspension_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_provider_product_suspension_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_provider_product_suspension_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_provider_product_suspension_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application;;api;;;;;;;;;;;;R;
service_providing_group_product_application;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application;service_providing_group_id;api;;R;R;R;R;R;R;RC;R;;;;
service_providing_group_product_application;procuring_system_operator_id;api;;R;R;R;R;R;R;RC;R;;;;
service_providing_group_product_application;product_type_ids;api;;R;R;R;RU;R;RU;RCU;R;;;;
service_providing_group_product_application;status;api;;R;R;R;RU;R;RU;RC;R;;;;
service_providing_group_product_application;maximum_active_power_up;api;;R;R;R;RU;R;R;RCU;R;;;;
service_providing_group_product_application;maximum_active_power_down;api;;R;R;R;RU;R;R;RCU;R;;;;
service_providing_group_product_application;additional_information;api;;R;R;R;RU;R;R;RCU;R;;;;
service_providing_group_product_application;prequalified_at;api;;R;R;R;RU;R;RU;R;R;;;;
service_providing_group_product_application;verified_at;api;;R;R;R;RU;R;RU;R;R;;;;
service_providing_group_product_application;ramping_capability;api;;R;R;R;RU;R;R;RCU;R;;;;
service_providing_group_product_application;ramping_description;api;;R;R;R;RU;R;R;RCU;R;;;;
service_providing_group_product_application;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_comment;;api;;;;;;;;;;;;R;
service_providing_group_product_application_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_comment;service_providing_group_product_application_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_providing_group_product_application_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_product_application_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_product_application_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_attachment;;attachment;;;;;D;;;D;;;;R;
service_providing_group_product_application_attachment;id;attachment;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_attachment;service_providing_group_product_application_id;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;object_id;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;filename;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;filename_sanitised;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;content_type;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;size_bytes;attachment;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_product_application_attachment;recorded_at;attachment;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_application_attachment;recorded_by;attachment;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension;;api;;;;;D;;D;;;;;R;
service_providing_group_product_suspension;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_product_suspension;procuring_system_operator_id;api;;R;R;R;RC;R;RC;R;R;;;;
service_providing_group_product_suspension;service_providing_group_id;api;;R;R;R;RC;R;RC;R;R;;;;
